Planet Name,X,Y,Z,Orbital Period,Planet Radius,Planet Mass,Semi-Major Axis,Eccentricity,Insolation Flux,Equilibrium Temperature,Star Temperature,Star Radius
Kepler-1514 b,120.6794737582677,-289.52214288853105,243.83257914942484,217.83184293,11.17,,0,0,3.29,343.0,6259.0,1.17
Kepler-1515 b,128.72617960724952,-335.8001954305396,401.9140958880811,214.3120439,,,0,0,,,6447.86,1.54
Kepler-1516 b,355.01124120943973,-901.4986396173614,952.896806523655,7.25931979,1.75,,0,0,,,5904.0,1.07
Kepler-1517 b,188.92273169445343,-588.17105760436,579.8953387005919,5.54608109,10.083,,0,0,1504.95,1589.0,6963.86,1.89
Kepler-1518 b,322.72115055434705,-551.5561338416691,638.7231092629335,5.11177904,2.25,,0,0,788.0,1351.0,6432.0,1.34
Kepler-1519 b,420.5412144274587,-837.3198309006733,1095.5992171630764,240.7989397,6.84,,0,0,1.52,283.0,5911.0,0.89
Kepler-152 b,95.11735117567048,-313.7494624020299,295.08363636054344,18.208009,3.0,,0,0,,556.0,5249.0,0.73
Kepler-1520 b,135.3972335986371,-353.34455747710575,475.7922779156304,0.65355361,22.95,,0,0,1004.07,1437.0,4550.0,0.66
Kepler-1521 b,63.059122349901294,-150.81882312251503,126.9613798341831,47.14840805,6.46,,0,0,34.14,616.0,5089.0,1.95
Kepler-1522 b,169.87288064546777,-470.72527744337475,642.1529671519618,,2.014,,0,0,1513.46,,5764.0,1.12
Kepler-1523 b,264.92396602244935,-541.8761439392417,620.8397313900539,,1.551,,0,0,2218.14,,5568.0,0.94
Kepler-1524 b,119.24592197512627,-269.2795095310808,242.93945617787716,70.9674603,2.86,,0,0,10.55,460.0,5900.0,1.0
Kepler-1525 b,86.55616586615274,-230.77475459216052,293.14095059284904,2.41660149,0.92,,0,0,770.05,1343.0,5705.0,1.03
Kepler-1526 b,112.8317312279749,-417.60127553935524,348.6267984134345,3.908632,2.31,,0,0,91.01,788.0,4518.0,0.65
Kepler-1527 b,588.5337010075785,-1134.696308864339,1326.47476656285,160.13181519,,,0,0,,,5919.0,1.66
Kepler-1528 b,168.08493081771078,-536.2617127512387,593.744619028344,1.79111021,1.39,,0,0,1356.76,1548.0,6040.0,1.0
